review,actual,predicted
alhamdulilah barang cepat sampai dan tidak ada kerusakan,1,1
barang sampai dengan selamat barang bagus pengiriman dan penjelasan cepat dan rapi,1,1
alhamdlah akhir dapat juga sale hadiah untuk keponakan saya terima kasih kasih lazada,1,1
barang bagus dosbox tidak semua fitur berfungsi semua,0,1
respon cepat kirim kilat terima kasih,1,1
sayang sekali tidak dapat faktur terus mengalami garansi bagaimana,1,1
barang yang datang tidak sesuai pesanan lain merek lain spesifikasi tidak ada tombol peraturan jarak tidak ada busa pemanis tidak ada barcode terima kasih pelayanan mengecewakan,0,1
barang bagus tidak kecewa deh sudah pasang lagi baterai datang juga cepat pesan lagi deh,1,0
barang sangat jelek tidak bisa nyala bahkan telepon genggam mati tiba tiba saat digabungkan mau return malas karena harga tidak seberapa sangat kecewa,0,0
barang bagus dan sesuai pesanan terima kasih lazada,1,1
direkomendasikan,1,1
barang bagus tertawa pengiriman saja agak kesel pesanan pertama lesung lewat sampai delapan rian yang bayar tempat bahkan hari sudah sampai tahu itu lebih baik bayar tempat saja lebih ditingkatan lagi iya pesanan nya,1,0
produk dikirim oleh lazada cukup cepat namun kendala terjadi pada bagian ekspedisi yang tidak tangap sudah ada kota tujuan tapi tidak kunjung diantar dan setelah cek pusat ekspedisi memang banyak sekali paket lazada terpenting sekadar saran mungkin lazada dapat memberikan opsi pengiriman pilihan ekspedisi kepada konsumen walaupun terkena cah tambahan asal sesuai dengan harapan,1,1
cepat sekali sampai terima kasih,1,1
kurir jujur,1,1
bagus semoga lanjut masih sebanyak flash sale redmi lima nya,1,1
oke penjelasan baik walau agak susah sih ikut flash satenya,1,1
tolong sikap kurir lazada express dijaga masa menunggu sebentar saja sudah novel novel dan mau ancam dibatalkan barang yang saya pesan sms pagi tapi dianterin saat jam istirahat kantor tidak tahu kita lagi salat dan makan,1,0
harga murah spesifikasi mantap,1,1
bagus lebih bagus lagi harga kalau kembalikan harga awal sembilan ratus sembilan puluh sembilan,1,1
barang oke pengiriman cepat terima kasih lazada,0,0
tidak fel tempered kelasnya,0,1
cukup bagus dan belum ada kendala,1,1
alhamdulilah dapat flash sale xiaomi penuh perjuangan iya buat dapetin barang cepat sampai penjelasan rapi barang mulus semoga mesin juga mulus iya amin dus stiker garansi tam tapi tidak ada kartu garansi atau untuk retur barang juga tidak ada bagaimana cara retur kalau barang rusak terima kasih lazada,1,1
terima kasih lazada,1,1
sudah sampai bagus sekali harga murah cocok meong lazada yang terbaik,1,1
barang sesuai pesanan dan harga terjangkau tetapi kalau bisa jangan naik harga,1,1
waktu itu saya tidak ada orang di rumah salat jumat dan tiba tiba kurir bilang harus sekarang juga lalu saya sanggupi satu jam kemudian istri saya pulang berbelanja diterima barang headset tersebut dan dicoba oke saya sangat menyayangkan sikap kurir yang memaksa dan berbahasa kurang baik,0,0
sabtu dikabulin barang sampai tapi kurir minta saya lazada saja dengan alasan sudah tidak dibuang namun tidak beritahu tutup jam berapa sampai lazada sudah tutup akhir senin barang sampai meski harus denger curahan hati sih kurir lewat whatsapp kerja banyak,1,0
barang belum datang tapi aplikasi sudah terkirim coba perbaiki lagi sistem lazada jangan mengecewakan customer lho ingat sangat ente banyak wasalam,1,0
mantap akhir sebagian flash sale redmi lima telepon genggam keren tidak salah kalau dibilang hpterbaikdikelas pengiriman super cepat hari lesung sampai pematangsiantar semoga dapat lagi flash sale ugal sepuluh jan nanti,1,1
pelayanan dan pengiriman cepat andalanlah saya harap semua daerah bisa mengunakan jasa pengiriman yang seperti ini,1,1
mantap satu hari sampai,1,1
packingya lumayan bagus rapi dan alhamdulilah barang mulus lancar jaya maturnuwun,0,0
bagus selera paket cepat sekali sampai dan produk asli xiaomi terima kasih,1,1
oke pelayanan,1,1
produk sesuai dengan deskripsi pengiriman cepat,1,1
mantap jiwa terima kasih lazada dan kurir yang super ramah,1,1
barang sampai tepat waktu puas,1,1
barang bagus memang tidak pas dengan layar redmi tidak empat karena ukuran layar lima kalau misal sesuai dengan layar maka akan bergelombang soal pengiriman lama sampai seminggu,0,1
cepat rapi dan koperatif,1,1
murah sangat direkomendasikan,1,1
barang sampai sesuai estimasi puas barang bagus pula murah tapi tidak murahan sekali lumayan lah terima kasih lazada,0,0
keren sudah mantap pengiriman cepat terima kasih lazada,0,1
barang sudah sampai tapi pada saat unboxing ternyata bonus tempered glass beserta kotak pecah,1,0
barang bagus cepat sampai terima kasih,1,1
sudah kali terima kasih,1,1
barang tidak ada tapi aktif email sudah diterima,1,1
barang sudah bagus memuaskan tapi masih kurang keterangan bonus heatsed tapi paket tidak ada,1,0
pengiriman cepat dan barang bagus,1,1
yang terbaik adalah yang terbaik empat over,0,1
mantap terima kasih lazada,1,1
lumayan bagus pesan kemarin hari ini dong terima kasih lazada,0,1
telepon genggam oke sekali dan harga juga itu garansi gina iya kok tidak ada kartu garansi tap lazada adalah oke yang terbaik sudah,1,1
mengecewakan karena ada ongkirnya,0,0
mangkuk tidak bisa bongkar pasang iya,0,0
bahan celana apa,0,0
spesifikasi mantap harga murah,1,1
saya ambil sekaligus mantap cepat tampak harga bersaing mantap sekali lagi buat lazada,1,1
barang datang lebih cepat dari estimasi waktu sampai penjelasan rapi kurir ramah terima kasih lazada,1,1
mutu baik,1,1
barang sudah keterima tadi siang kondisi barang secara keseluruhan bagus,0,1
terima kasih lazada barang telah sampai diterima dengan baik,1,1
barang sesuai harga bagus lah terima kasih lazada,0,1
paket sudah sampai dan saya suka sekali sangat membantu saya dengan aktivitas saya yang memang jarang mengunakan telepon genggam dengan jam onie cognos saya bisa tahu kalau ada panggilan telepon atau sms itu sangat membantu saya arah kasih lazada,0,1
mantap sekali barang sudah sampai mulus terima kasih gawai olin lazada,0,1
semoga dapat lagi,1,1
barang bagus pengiriman baik,1,1
kecewa karena fungsi aku tidak dapat digunakan tiga kartu aku dicoba sinyal dekat tapi selalu sms tidak bisa dipake bel deh proses mengembalikan barang untuk ditukar tidak tahu berapa lama kata sih lima tujuh hari kerja mohon dibantu iya lazada,1,0
jam bagus yakin baik tertawa pengiriman yang lama,0,0
barang bagus sesuai deskripsi ada kartu garansi juga,1,1
barang bagus sesuai dengan pesanan mudah mudah awet barang iya karena belum dicoba sampai sekarang,0,0
mixed bagus pengiriman juga cepat tertawa hari pulau jawa barat kurir ramah tidak banyak barang bungkus rapi oke sekali tidak kecewa semoga bermanfaat bagi yang bersinar,0,0
barang bagus tapi kok belum sampai di tempat sudah batas waktu pengiriman,0,0
barang sudah diterima mudah mudahan awet,1,1
bagus,0,1
teratas sekali,1,1
bagus kapan flash sale lagi,1,1
barang sudah sampai kemarin cepat sekali dan bagus sekali harga juga terjangkau sapu couple iya pakai buat sendiri saja duduk entahlah,0,0
telepon genggam murah spesifikasi tidak kalah dekat sama telepon genggam satu lima hutan penjelasan rapi,1,1
lazada memang oke tertawa sayang datang tidak pasti kapan,1,1
proses sangat lama,1,1
bagus dan direkomendasikan,1,1
barang sesuai dengan pesanan bagus sudah cek semoga awet,1,1
terima kasih,1,1
sesuai gede rasa,0,1
spesifikasi wah dengan harga murah,1,1
terbaik dikelas selera teratas sekali,1,1
beli saat flash sale lebih dari lumayan untuk harga sembilan ratus sembilan puluh sembilan ribu semoga lain kali bisa lebih gampang beli barang flash sale,1,1
penjelasan oke telepon genggam oke pakai ongkos tertawa sepuluh ribu lagi hari itu juga sampai di tempat tidak ada kartu garansi semoga awet perdana dapat tertawa tidak mengerti aktifasi bagaimana,1,1
terima kasih,1,1
kualitas oke sesuai harga pas didengar,1,1
awal sih aku yakin warna rosegold kaya gambar tertawa barusan datang warna emas beda kaya pin sedih tapi tidak lah datang cepat aku mesin keren malam tadi barusan siang jam satu satu nol sudah datang kurir juga ramah mas mas jam ini recomende sekali sih kalau kata aku soal jam ini sama percis kaya jam atau atau slinya,0,0
kalau produk standar saja semua sama saya senang pengiriman pakai lex cepat semalam sampai tidak seperti ekspedisi sebelumya sembilan hari baru sampai terima kasih,1,1
seperti biasa bagus tapi kali ini agak lama sapanya,1,1
terima kasih,1,1
harga terjangkau dengan spesifikasi mumpuni telepon genggam sejuta umat terima kasih xiaomi tema,0,1
biarkan saja bolakbalik gagal konfirmasi payah,0,0
sudah terima sesuai pesanan tapi saat buka isi gratis paket limited tidak ada lebih teliti lagi terima kasih lazada,0,1
barang selamat sampai tujuan tertawa sayang yang tidak bisa fitri kontak kamera yang tidak bisa buat notifikasi saja yang kurang maksimal juga iya sesuai deh kalau harga segini tidak mungkin sempurna terima kasih lazada,0,0
barang cepat datang iya dan bagus tertawa ada beberapa fitur tidak bisa jalan tapi tidak apa apa lah oke deh,1,0
ditunggu lanjut flashsalenya,1,1
terima kasih lazada barang tiba dengan selamat semua oke,1,1
produk bagus segel garansi tam bungkus rapi pengiriman cepat pesan tanggal tiga puluh satu jan tanggal tiga sayang sampai terima kasih lazada,1,1
bagus pengiriman express,1,1
mantap mantap barangnya,1,1
produk murah meriah dengan kualitas cukup baik tertawa perlu sedikit perjuangan untuk mendapatkan,1,1
baru dipake sekali sudah rusak kala kepuasan langsung tidak bisa berputar kecewa mau garansi tidak ada,0,0
cepat sampai terus penjelasan bagus tapi indonesia oleh apa yah jadi harus dilepas itu kartu indosatnya,1,1
cepat datang nya,0,1
pengiriman tertawa satu hari cepat,1,1
lumayan bagus kiriman tepat waktu,1,0
sangat bagus sekali dalam mengantarkan maupun barang susun lazada,1,1
softcase pas awal sampai bagus tapi lama jadi agak kendra padahal tidak terlalu dibengkokan tempered glass juga tidak fel sore dan sedikit miring cetak secara keseluruhan bagus sih penjelasan juga rapi sebenar dari lazada tapi mengapa untuk produk agak tidak bagus begitu lah,1,0
terima kasih banyak,1,1
barang sesuai deskripsi untuk harga jual segini barang sangat baik,1,1
asli garansi tam,1,1
barang tidak berfungsi,0,0
kiriman cepat dan semoga awet,1,1
barang datang tepat waktu barang tersungkur rapi,1,1
barang cepat sampai dan aman,1,1
jam oke sekali anak anak pada suka this lazada,0,0
juragan saya kapan datang saya bayar tanggal delapan juni ini sudah tempat,0,0
gawai yang sesuai untuk kantong garansi resmi,1,1
barang yang dikirim dipacking rapi dan sesuai pesanan estimasi pengiriman juga sesuai terima kasih lazada,1,1
mantap sekali terima kasih lazada,1,1
cepat sekali sampai sehari sudah sampai penjelasan juga rapi dan aman puji tuhan pernah kecewa belanja lazada,0,1
barang bagus murah lagi dan memuaskan,1,1
tidak menyesal sama pesanan yang satu ini semoga barang berikut juga sesuai iya terima kasih,0,0
produk rusak yang kirim,0,1
barang bagus pengiriman cepat sudah saya pakai hampir sebulan tidak ada masalah,1,1
bayar bersama tapi yang ini dikirimkan terlambat hari,1,1
pengiriman cepat sekali bayar malam besok sudah datang,1,1
estimasi minggu datang hari sabtu mantap,1,1
jam keren sangat praktis tapi tidak bisa nyambung sama fitur message padahal sudah download telepon genggam apa buat notifiernya,0,0
tidak ngekecewakan belanja dilanda teratas deh untuk selera maupun lazada,1,1
pengiriman aman barang sampai tepat waktu,1,1
akhir dapat,1,1
produk bagus sesuai ekspektasi tidak ada cacat,0,1
alhamdulilah dapat lagi,1,1
pesanan sudah diterima barang sesuai gambar terima kasih lazada,0,1
barang sesuai dengan harapan,1,1
cepat panas baru dipake beberapa kali sudah rusak,0,0
terima kasih lazada jam sudah sampai dan oke sekali iya,0,0
barang sesuai pesanan dan memuaskan terima kasih,1,1
halus capai mantap smsin istimewa lazada kurir juga ramah,1,1
mantap pas sekali,0,0
kartu tiga tidak tahu kode indonesia toko,1,1
mantap dapat sambung harga murah,1,1
suhu alhamdulilah barusan asli masih lazada dan selera,0,1
pengiriman cepat dan barang oke,1,1
kondisi mantap,1,1
terbaik dikelas mantap,1,1
jam tangan pria tidak berfungsi rugi sia sia,0,0
barang mantap jempol deh,1,1
mantap nan,1,1
saya beli iya akad,1,1
yang penting barang sudah sampai,0,1
bagus barang seperti gambar puas deh pokoknya,0,0
internal lazada tidak beres banyak oknum oknum nakal suka batin pesanan dengan alasan yang tidak logis,0,0
mantap mantap mantap mantap,1,1
barang cepat sampai terima kasih lazada,1,1
mangkuk tidak bisa dicoret jadi susah jika saya mau menuangkan adegan tempat lain,0,0
barang diterima kondisi baik kualitas barang bagus sayang pengiriman agak lama hampir seminggu,1,1
pesan malam pagi sudah sampai sesuai dengan pesanan primer semoga awet depannya,1,1
untuk pengiriman lumayan cepat terus buat barang juga lumayan bagus dan sudahlah terima kasih lazada,0,1
alhamdulilah jam sudah sampai tapi kok dinyalakan tombol tepat tidak ada yang hidup iya saya pesan dua mati semua tidak ada yang hidup padahal sudah harga barangkali baterai hts,0,0
barang bagus sesuai pesanan pengiriman cepat,1,0
barang saya terima dengan baik pengiriman oke dan barang saya cek semua dalam keadaan baik dan semua berfungsi dengan baik terima kasih lazada belanja lagi,0,1
barang sudah datang terima terima kasih sukses kakak lazada,0,1
bagus,1,1
desain mewah sepi cukup mumpuni kamera lumayan sekali untuk harga segini,1,0
barang keren harga mantap,1,1
pesan sabtu senin hari libur tetap dikirim mantap lazada sukses selalu,1,1
barang bagus pengiriman cepat,1,1
kualitas sangat bagus pengiriman cepat,1,1
barang datang sesuai pesanan dan saya puas tapi pengiriman terlalu lama,1,1
produk berkualitas terbaik kelasnya,1,1
pesan tangan tujuh belas sampai tangan nol jam tidak lecet bagus bisa dinyalakan semua terima kasih lazada terima kasih santorini,0,0
oke,1,1
nyoba untuk yang kesekian kali akhir bisa juga sempat kecewa dan uninstal aplikasi ini karena beberapa kali nyoba tidak bisa selalu rusak akhir saya coba lagi chekout dari jam sepuluh lima puluh sembilan langsung berhasil dan besok pagi langsung dikirim untuk produk sangat bagus dengan harga begitu mudah awet,1,0
headset yang sebelah kanan lepas hampir lepas,1,1
kualitas barang tidak sesuai dengan harapan,0,0
hingga hari ini barang belum juga sampai kecewa,0,0
kok tidak mau coret telepon genggam saya iya apa kasih bisa dibantu cara pengoperasian dan pesanan hitam kenapa yang kirim putih,0,0
hardcase bagus tapi tempered tidak sama,1,0
penjelasan rapi pengiriman cepat satu hari sampai telepon genggam diterima dalam kondisi baik harga murah meriah semua berfungsi baik dapat bonus kartu tiga terima kasih lazada indonesia,1,1
ini telepon genggam sudah jangan dia lagi bagus atau tidak karena dengan harga minimal mendapat fitur yang maksimal,1,1
kecewa sekali jam tangan rusak dua duanya,0,0
bagus juragan,1,1
teratas sekali cepat sampai tapi saya susah sekali dapat nya,1,1
barang sangat oke pengiriman super cepat bintang lima buat lazada,1,1
pengiriman cepat satu hari sudah sampai kurir ramah alhamdulilah puas belanja lazada,1,1
produk diterima lebih cepat berfungsi baik tanpa cacat dan tersengal baik yang kurang tertawa paket banding tanpa hanger,0,1
tipis lubang kamera menutupi alas,1,1
jam tangan saya sampai sekarang kok belum datang juga sudah tiga minggu kecewa,0,0
ini jam pokok nganu sekali bagus pol bos seram bicara nganu terima kasih iya lazada lazada kangen nganu bahagia,0,0
lazada tidak mendetail dan kurang bagus karena tidak melayani mengembalikan produk,1,1
tertawa agak lama,1,1
alhamdulilah barang sudah sampai tempat tujuan pengiriman cepat barang sesuai terima kasih lazada,1,1
pengiriman super cepat kualitas mantap,1,1
semua dalam kondisi baik,1,1
saya merasa puas dengan pelayanan yang diberikan oleh lazada,1,1
barang sudah sampai dan penjelasan rapi,0,1
terima kasih barang sesuai keinginan,0,1
alhamdulilah membawa rezeki bagi semua orang,0,1
jam sudah terima barang bagus masih lazada,0,0
kapan ada flash sale lagi ini,1,1
barang sampai cepat terima kasih lazada,1,1
penjelasan sangat baik pengiriman juga cepat rabu siang ikut flash salah kamis siang sudah sampai warna sesuai dengan yang didapat ketika flash sale kurir internal lazada juga sangat amanah,1,1
terima kasih lazada,1,1
ditunggu flash sale berikutnya,1,1
penjelasan rapi dan cepat sampai terima kasih lazada,1,1
produk sesuai terima kasih lazada,1,1
buang sesuai pesanan pengiriman cepat,1,1
bagus barang cepat sampai dan sesuai pesanan terima kasih lazada,1,1
teratas,1,1
untuk harga begitu murah sekali pokok mana plus dapat tempered glass juga pengiriman oke terus tingkatan pelayanan iya,1,1
barang asli terima kasih lazada terima kasih xiaomi,1,1
barang bagus pengiriman cepat sebenar barang tidak penting sih tapi nama ingin dan murah iya sudah beli saja tertawa,0,1
pengiriman medan lama sekali biasa tiga atau empat hari sampai ini sudah seminggu lebih belum sampai pesanan saya padahal metode pembayaran transfer mohon untuk ditindaklanjuti tema lazada,0,0
tingkatan selalu pengiriman express terima kasih kamu lazada,1,1
mantap semua segel utuh,1,1
saya sudah beli dan ternyata tidak dapat merekam video memutar video juga tidak bisa tidak seperti deskripsi,0,0
mantap beli rabu kamis sudah sampai,1,1
tolong berikan saya jodoh secepat pengiriman yang anda kirim,1,1
terima kasih lazada barang sudah saya terima dengan keadaan bagus mata penjelasan rapi pokok sif sukses lazada,1,0
jangan beli barang ini saya jamin seratus persen anda bakal kecewa palsu lebih baik toko daring sebelah kena tipu,0,0
barang sudah terima tapi kok nak ada dosa,1,1
barang sudah sampai tetapi kemasan atau dus bukan dus asli seperti terus fitur musik tidak bisa laki kartu memor semua jenis saya coba selalu muncul kalimat berkas tidak ada tetapi sajalah harga murah bawah seratus san sudah bisa telepon terima kasih,0,1
one dunia enam leter sempurna bagus produk dengan bagus pelayanan terima kasih kamu lazada,1,1
sini saya tidak mendapatkan lambat bluetoth kondisi barang tidak sesuai kaki rapor tipis tidak cocok untuk luar ruangan respon penjual mengecewakan secara keseluruhan mengecewakan,0,1
lazada oke pengiriman cepat kurir ramah pokok oke sudah semuanya,1,1
sangat membantu kenangan,1,1
tidak menyesal ambil xiaomi redmi lima,1,1
bagus produk,1,1
barang realpic sekali murah juga kalau beli satukan pasti lebih bahkan tidak ada cacat sedikitpun ini bagus sekali serius bagus tidak bohong ini kurir juga super ramah semoga awet,0,1
pesan tangan tiga satu satu sampai lima satu satu,1,1
bayar tempat amanah,1,1
harga rakyat kualitas oke semoga awet,1,1
mantap satu hari langsung datang kurir ramah terima kasih lazada dan xiaomi,1,1
kalau nyalakan mixed keluar api biru mengadu kalau pasang beradu bisa super barang tidak kak,0,0
untuk flash sale lazada menyediakan telepon genggam bagus dengan harga terjangkau sayang sekarang harga naik jadi tidak bisa dibagikan lagi sebagai antre terserah dan terbaik kelas,1,1
oke barangnya,1,1
barang lumayan bagus sesuai dengan harga penjelasan bagus tertawa kirim lama,0,0
jam berfungsi dengan baik apa sudah ada simcardnya,0,0
puas terima kasih lazada,1,1
barang cepat sampai penjelasan rapi kondisi barang mulus temperglas bagus namun sayang halus capai sedikit lontar tidak pas telepon genggam secara keseluruhan berat henti,1,1
terima kasih lazada mantap sudah pokoknya,1,1
terima kasih lazada barang cepat sampai kualitas bagus minggu depan ada lagi tidak iya,1,1
bagus cepat puas,1,1
mantap sekali,1,1
terima kasih,1,1
semoga awet iya lazada,1,1
telepon genggam gesit murah,1,1
barang sesuai dengan gambar dan deskripsi saya suka sekali sekali terima kasih incredible dan lazada pengiriman cepat sekali aku yang jawa timur tertawa hari sampai walaupun pakai standar pengiriman ciuman,0,0
barang sudah sampai penjelasan rapi terima kasih lazada semoga barang awet,0,0
terima kasih kamu dapat dari lazada,1,1
barang mendarat dengan selamat penjelasan rapi jalih dan kurir ramah barang sesuai dengan yang harapkan puas puas puas terima kasih lazada,0,1
pengiriman cepat sekali pesan hari sampai terima kasih lazada,1,1
produk sesuai dengan harga mungkin termasuk murah dengan spesifikasi seperti itu,1,1
barang kaya yang bekas bisa sambung saja baru muter sebentar sudah berhenti lagi,0,0
barang sampai senin enam atau nol nol atau nol saat ini sedang diet kendala yang timbul sampai hari ini saya mengunakan sebagai telepon seluler dengan provider kali sinyal aku tampil emergenc atau nomor pelayanan lokasi saya padahal tengah kota apakah ini normal,1,0
pembelian telepon genggam xiaomi redmi lima lazada saat flash sale sangat memuaskan barang oke pengiriman tidak sampai satu hari beli siang jam satu satu barang sampai jam satu nol malam dalam waktu delapan jam barang sudah sampai tidak lazada sukses selalu tahun satu delapan,1,1
ini jam tangan jarum menit goyang goyang kecewa saya pesanya,0,0
lambat untuk yang lain belum sempat coba tapi seperti oke lah trmksh,1,1
mantap,1,1
barang sudah sampai tujuan terima kasih,1,1
terima kasih lazada barang sudah sampai kualitas bagus dan sampai dengan selamat sukses terus lazada terima kasih,0,0
barang bagus cepat sekali sampai hari barang sudah datangan terima kasih lazada dan kurir yang amanah,1,1
saya pesan satu jam tangan couple terus muncul pesanan saya jadi sama bersama maksud saya itu jam sang atau pasar tolong jawab adakan lazada,0,0
barang keren sudah coba lancar semua semoga awet barang dan masih dapat diskon juga tidak sampai seratus ribu pokok keren habis,0,1
barang sampai sesuai dengan waktu parkiran penjelasan rapi dan sesuai dengan yang harapkan tertawa saja audio layar tidak bisa memutar semua lagu yang ada playlist jadi yang berputar tertawa satu lagu saja tapi secara keseluruhan bagus sekali dengan harga yang terjangkau,0,0
kecewa sekali minta tempered glass xiaomi yang kirim tidak tahu buat telepon genggam apa,0,1
buat lazada kamu tidak ada bayar di tempat tidak perlu dicantumin dong nama apa kamu kenyataan iya harus bayar dulu trik maret basi iya yang inovasi dan memang saja dong,0,0
elegan,1,1
mantap dengan harga bawah satu juta tapi kualitas mantap,1,1
barang mantap pengiriman super cepat semoga awet barang terima kasih lazada,1,1
semua bisa digunakan kecuali whatsapp facebook youtube browsing tidak tahu kesalahan dina padahal sudah pakai sim kartu pakai kuota tapi tidak bisa coret recomend sekali deh,1,1
pengiriman saja tertawa satu hari cepat sekali terima kasih,1,1
bagus suka sekali murah tapi terlihat mewah,0,0
bagus dan mantap,1,1
ken sih tapi kok agak ribet pas tripod berdiri iya,0,0
harga merakyat spesifikasi dahsyat untuk pengiriman lebih cepat dari estimasi yang diberikan harapan untuk terus meninggalkan kecepatan pengiriman terima kasih lazada,1,1
lucu,0,1
pengiriman cepat sekali lex barang memuaskan,1,1
barang bagus sesuai dengan harga terima kasih,0,0
produk dikirim kondisi aman dan sesuai terima kasih lazada,1,1
fajar tidak bisa dipakai barang tidak sesuai harapan tapi teks lazada,0,0
bagus mantap,1,1
barang sudah saya terima penjelasan rapi tapi setelah saya cek dalam ada satu kabel warna hitam yang terlepas solder saya tidak tahu kabel apa tapi jam masih bisa berfungsi dengan baik sejauh ini secara keseluruhan bagus terima kasih gawai holics terima kasih lazada,0,0
mantap dapat warna emas,1,1
direkomendasikan lah pokok,1,1
productx seimbang dengan harga untuk lazada jempol sekali sudah ada bayar tempat dan cepat sekali dengan lex secara keseluruhan oke sekali terima kasih,0,1
menyesal pol,1,1
pengiriman cepat sekali terima kasih lazada,1,1
mantap teman,1,1
sesuai harga begitu dengan kualitas jam tapi cepat sekali pengiriman lumayan okelah thankyou lazada,0,0
harus dicoba dahulu,1,1
tertawa pengiriman jogja lama barang oke reno rupa tapi kurang tahu kualitas tunggu alasan satu bulan lagi,1,1
produk sudah diterima sesuai sama deskripsi mantap,1,1
andai ada bintang nol sudah saya kasih bintang nol tripod letak pas kasih telepon genggam lambat bluetoth sama sekali tidak berfungsi pantes saja sale produk tidak berfungsi sih parah,0,1
barang sampai tapi agak penyok dikit,1,1
terima kasih lazada semua sudah terkirim,1,1
spesifikasi mantap harga murah flash sale dua baru dapat ini barang,1,1
terima kasih lazada barang bagus fungsi normal semua cepat sampai tulisan sampai tanggal empat tujuh april tahu tanggal tiga april sudah datang salut respon cepat sukses terus,0,0
hampir saja saya tertipu dengan komentar yang di atas saya ternyata bagus barang cepat sampai tempered glass ada tempat jadi gamungkin pecah,1,0
pengalaman pribadi selalu puas dengan selera dari lazada dan pengiriman lex makin ditingkatan agar semakin banyak yang percaya dan mengunakan situs ini untuk jual beli daring,1,1
ini cocok,1,1
kualitas bagus,1,1
biarkan bintang yang berbicara,1,1
cukup puas sudah pesan empat unit barang sesuai pengiriman tepat waktu terima kasih lazada,1,0
barang bagus penjelasan aman,1,1
telepon genggam biasa saja tapi cara mendapatkanyabluar biasa,1,1
semua berfungsi kecuali untuk internet tidak bisa pakai andre lutut tambah oke,1,0
barang pecah jadi saya tidak bisa pakai hiks padahal saya mau pakai,0,0
pengiriman pakai ninja lama ini yang tiga kalinya,0,1
kurir ramah barang bagus cepat sampai,1,1
barang oke pengiriman dan kurir juga oke puas belanja lazada terima kasih lazada akhir saya dapat flash sale juga,1,1
barang cepat datang kurir terpercaya barang bagus murah dan garansi resmi tam tidak kecewa belanja lazada terus pertahankan kualitas dan kepercayaan konsumen iya lazada,1,1
saya beli mixed pas sudah datang barang besok saya coba dan saya nyalakan ada bau kabel kebaikan saya kecewa,0,0
sudah mah dua mati yang untuk laki juga jam rusak harus diservis bayar lazada lima puluh dan perbaikan jam lima puluh lebih baik beli sih arah palsu palsu,0,0
ayo terus adakan flash sale,1,1
pengiriman cepat produk oke,1,1
teratas deh,1,1
barang sampai tepat waktu terima kasih,1,1
harga miring tapi ngacir tidak menyesal deh bergaya tidak perlu mahal kan,1,1
barang sesuai diskripi,1,1
mantap pengiriman cepat untuk saat ini telepon genggam masih bagus tapi sayang tidak bisa ikutan flash sale lagi,1,1
baru kemarin mendarat jam iya mantap mulus mewah sekali alhamdulilah tidak kecewa kece badai,0,0
pesanan sudah diterima adik berfungsi dengan baik,0,1
telepon genggam murah sudah datang dengan selamat pengiriman lumayan cepat,1,1
setelah penuh perjuangan akhir dapat juga cepat demi bagus produk terima kasih lazada dan selera terima kasih juga kurir yang ramah,1,1
pengiriman cepat penjelasan rapi barang juga bagus puas belanja sini,0,1
tapi,1,1
murah sekali,1,1
produk bagus sesuai dengan deskripsi lazada,0,1
sesuai pakai normal pengiriman cepat,1,1
barang sesuai mantap deh,1,1
kurang puas,0,0
barang bagus harga terjangkau,0,1
setelah gagal berkali kali sejak flash sale pertama akhir pada kesempatan lima dapat juga sempat terpikir program flash sale tertawa drama untuk mendongak popularitas namun saya salah besar flash sale xiaomi redmi lima bukan siapa jempol semata mungkin tertawa karena terlalu banyak meminta terima kasih lazada,1,1
grateful,1,1
pesan tanggal sepuluh jan delapan belas alhamdulilah tanggal enam belas jan delapan belas sudah diterima barang sesuai dengan pesanan terima kasih lazada,1,1
kurir benar benar payah paket lama sekali sampai bisnis jadi macet tolong dong lazada jangan kirim paket pakai ninja stres benar benar mengenalkan,1,0
memang barang cepat datang saya pikir jam telepon genggam pakai kartu sama memori ternyata tidak,0,0
cara kredit bagaimana,0,1
penjelasan rapi barang tet normal walaupun pengiriman agak lambat,1,1
barang tidak sampai tapi ditracking barang sudah diterima,1,1
ternyata jam kecil tidak sesuai umur tapi olah jam berfungsi dengan baik,0,0
barang bagus pengiriman cepat,0,1
super duper oke,1,1
pengiriman jua cepat sekali,1,1
bagus lah barangnya,0,1
penjelasan bagus pengiriman cepat,1,1
barang sampai dengan selamat penjelasan rapi barang sesuai pesanan dan tidak ada cacat satu pun terima kasih lazada,1,1
atau ini kelebihan satu saya pesan kan tertawa tapi dapat tiga apa gratis satu untuk penjelasan safet sekali barang juga bagus tyo padahal murah dikira bakal biasa tapi tyo bagus sekali kok puas lah pokok direkomendasikan terima kasih iya,1,0
semoga semua alasan alasan yang kecewa tidak bermasalah sama dengan barang yang saya pesan,1,0
sudah terima dengan baik penjelasan rapi berfungsi semua bagus sesuai dengan harga harga tidak bisa bohong ngomong-ngomong mantap juragan,0,0
pengiriman tepat waktu oke deh sukses kamu lazada,0,1
baru baru hari tutup belakang sudah retak seperti stok lama dan baterai boros,1,0
alhamdulilah tidak menyesal sudah pemesanan tadi tertawa iseng coba coba pesan setelah barang sampai bagus tidak ada cacat normal jaya terima kasih lazada semoga teratas juga buat pemesanan yang lain iya,0,0
barang sesuai pesanan dan liku this,0,1
keren,1,1
barang masih ada,0,1
bagus sesuai dengan gambar terima kasih,0,0
apa bisa saya memesan sekarang tapi barang untuk satu minggu ke depan,1,0
terima kasih lazada,1,1
